"","EGFR","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP43_115_X4Y8_2876",0.231008526354085,0.620989818996256,2.1375860617943,2.66892573575837,0.0436122148011013,0.160530847378185,1.84263149540786,0.0295906189875326,0.226452908041092,1.87745024557086,0.305965319544086,0.305965319544086,0.326698413981034,0.102041409149705,0.108939401889423,0.151843419703488,0.069944329984745,0.069944329984745,0.44071282465446,1.83060050108705,0.0986636792580034,0.092676456374168,0.151140831671218,0.126703712225423,0.126703712225423,0.409698554611302,0.100772523847196,4.30432710548288,0.952123625328917,0.333126295331507,0.4058005461887,0.319964911414683,0.00400326285418279,0.00510171682568227,0.156003255847655,0.054754431903797,0.463775898202809,0.267054415962886
"BaselTMA_SP43_115_X4Y8_2877",0.349887631164798,0.828090615863161,1.73432060776808,2.32509331470293,0.111478985036179,0.171378824695133,1.6373874669083,0.0138072275730066,0.285053091031406,2.45667576872059,0.408085656136566,0.408085656136566,0.358389353082305,0.0259793331646735,0.184955842989024,0.0369894935737689,0.223420449118901,0.223420449118901,0.226347203395517,2.04758187699696,0.118583474085333,0.153931907181118,0.0761157069557067,0.0691372936268017,0.0691372936268017,0.357749119017624,0.182881397035006,4.22308499751748,0.185369289155576,0.388745370648513,0.0671005093592555,0.282244288074677,0.0468507921672903,0.0742763328356396,0.192895393047589,0.225094805742185,0.471326292461043,0.391290716170094
"BaselTMA_SP43_115_X4Y8_2878",0.731588654950432,2.12857700432292,2.0997116452743,2.75994107996211,0.180905809795327,0.451332840521166,2.37860747797028,0.0245252021874326,0.157732845475182,0.102942251710347,1.14345642576877,1.14345642576877,1.44940953957909,0.0682574882858417,0.425136379080483,0.169588225239417,0.24301731385251,0.24301731385251,0.466129815896445,1.30587184683062,0.233364497766557,0,0.0868473424733427,0.0553748734079831,0.0553748734079831,0.5804263255471,0.158434700058291,4.5645184868264,0.138810271089372,0.591118406257579,0.050651624484372,0.617693024066557,0.0538776964599818,0.0830720020861595,0.391954127440071,0.121507986242897,0.687806208770582,0.573409031840951
"BaselTMA_SP43_115_X4Y8_2879",0.542733128284492,2.17538893373732,2.05732950111186,2.63586547019957,0.155751539570069,0.448623064134614,2.37622654476535,0.0353109373024168,0.0865901465224387,0.0125715861094247,1.67579947104215,1.67579947104215,1.33529128693866,0.0251518473574332,0.785171315429051,0.261288085747467,0.651203561619615,0.651203561619615,0.57009049045021,1.30932172696316,0.156665195509939,0.227461805223855,0.152920073018627,0.112488744375797,0.112488744375797,0.604198239773212,0.113853704532959,4.32687330037935,0.207366924300008,0.980635768889119,0.102723170067729,0.518422157313902,0.050894513449823,0.034310662273937,0.417453636840704,0.212104704793493,0.589107619555952,0.544528673419198
"BaselTMA_SP43_115_X4Y8_2880",0.552696706070273,2.01632840490751,2.20289565016558,2.74852869180757,0.0759725436331253,0.487232053781886,2.37454867422874,0.0464238534457445,0.212273616612903,0.121542488974026,1.15333035908205,1.15333035908205,0.939873958867686,0.221902658480173,0.512983816014114,0.157648578914249,0.516800862865241,0.516800862865241,0.475529019329042,1.18835161290556,0.180854404561859,0.0730771127524779,0.091181840533343,0.12180826417226,0.12180826417226,0.455369005147866,0.181750600411191,4.94394830843236,0.137501118554535,0.547520352225394,0.0418268082880628,0.416108101572615,0.0635842207275674,0.00223758911727702,0.228805473694123,0.212949915852321,0.633500411201039,0.52543890574203
"BaselTMA_SP43_115_X4Y8_2881",0.685870143700397,0.443577267390272,1.32524603934488,1.69573788149536,0,0.00842901442055686,0.909664558457139,0.20862726782687,0.227326145338313,0.282729005168293,0.949425627445793,0.949425627445793,0.172988398148562,0,0.138490525828643,0.186320573500572,0.397522754560898,0.397522754560898,0.362528035874872,0.750315013826773,0.133492891626487,0.276031743924757,0,0.235264888386676,0.235264888386676,0.509224363031393,0.104806659334676,1.9429281182119,0,1.5959645514907,0.0786632414681436,0.180322864435011,0,0,0.203159044207422,0.284692608707987,0.432577773925386,0.201651322347895
"BaselTMA_SP43_115_X4Y8_2882",0.801993044261986,2.28122477375462,1.92181143445812,2.39863868896754,0.275319575473691,0.489020973767877,2.05340513411154,0,0.181351584198019,0.621079123107353,2.28729203996892,2.28729203996892,2.0454419707332,0.07705005901718,2.20941575513957,0.211586305382938,0.474716367418262,0.474716367418262,0.590878884951354,1.226530417883,0.206947596015176,0.196370510579509,0.164448768222478,0.0724278441548132,0.0724278441548132,0.47818542720914,0.126344766769917,4.8096033082404,0.215060923928213,0.528094496289499,0.175916954735813,0.675456095484913,0.105056842950289,0.200634623635446,0.302065692384568,0.180882195425917,0.827161883007319,0.417010637935304
"BaselTMA_SP43_115_X4Y8_2883",0.611035694197342,1.87628833339389,2.50730519398913,3.1059192749001,0.217559388243357,0.607313349886595,2.65634852385979,0.120233295779144,0.0583477418953679,0.239950353750572,0.803773236207699,0.803773236207699,1.42198111848366,0.0230656875770915,1.32330876692508,0.16738143764617,0.233037930851202,0.233037930851202,0.731753402807943,1.69737297134045,0.100922297043465,0.182619576207208,0.0731668119977964,0.190017098261246,0.190017098261246,0.553612818582942,0.0864115070402941,4.81836801548673,0.261179055514318,0.503623825937476,0.0952887765253006,0.581190445374413,0.130063959206162,0,0.271298102891725,0.351248112698513,0.546825765595867,0.579162045042833
"BaselTMA_SP43_115_X4Y8_2884",0.6599110649061,2.16217485020736,2.33843895621527,2.96507000130888,0.265711912739989,0.47637993287339,2.44211483227013,0,0.171524605722422,1.21884709707445,1.50078357467829,1.50078357467829,1.76262405949993,0.106200147828614,1.18285663047997,0.241421604725801,0.442986920296905,0.442986920296905,0.610461246851921,0.990598650588872,0.21631888582134,0.258705728791522,0.120453299516975,0.133994038402521,0.133994038402521,0.440958983794622,0.166829417530303,4.68964924871364,0.952123625328917,0.507898215928347,0.4058005461887,0.692339383722625,0.0883926112753315,0.0904758041810243,0.232570362076989,0.192452782319803,0.577300786872573,0.458848072619905
"BaselTMA_SP43_115_X4Y8_2885",0.662285837714692,1.98667712685719,2.37302600461495,2.94223899418783,0.0220770767033366,0.551968216389379,2.50002815771706,0.0820034033276951,0.186173935616458,0.118662832453509,0.816039886779339,0.816039886779339,1.85532117009259,0.0810783188561192,1.59298998608807,0.224240440613866,0.213237898945854,0.213237898945854,0.513459158318394,1.3886930307188,0.207510004828618,0.268291715600079,0.0986501022652187,0.0431654696609821,0.0431654696609821,0.566832906323239,0.0250533354450415,4.67758267999056,0.169834246379073,0.280016499636555,0.174355354425616,0.459594050053666,0.0986171693429669,0,0.351008178463846,0.190027509724992,0.911256372022432,0.647933461568247
