"","EGFR","Ruthenium_1","Ruthenium_2","Ruthenium_3","Ruthenium_4","Ruthenium_5","Ruthenium_6","Ruthenium_7","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP41_203_X8Y8_2049",0.184206495153968,0.795634353531727,0.322125304474804,1.23734533693005,1.09660700705973,1.30868891493543,1.87754759383965,1.69403533851693,1.63450641904744,1.10065186508306,1.54440910795998,0.0907838960158791,0.804122025197797,1.21780557868934,0.025988686722613,0.081267393724278,0.0368358600781574,0.54362980387628,0.54362980387628,0.471518314239186,0.0169124676027117,3.61133192501888,1.13079734316482,0.438042208069972,0.438042208069972,0.0488488806660882,0.705259485725172,0.057216320261749,0.00876667879671947,0.0751202209376376,0.0596027628387768,0.0596027628387768,0.39457914499659,0.105531698261154,2.34887295792145,0.0385046739277604,0.0671478292278717,0.037122318251099,0.211918455763904,1.26142102049344,0.928234614971888,0.111445712524387,0.105235464744819,0.544183540191509,0.115531771639219
"BaselTMA_SP41_204_X16Y4_238_343",0.451446705287431,0.925368863627616,0.416236181024988,1.33791404687518,1.31441984656627,1.55011120932445,2.13651832362697,1.77319509342222,1.70768393366144,1.4429008326687,2.06380780071325,0.217710281508768,0.393734578947386,2.61495790035977,0.123849067662859,1.4488241032474,1.08409763178543,0.930416743945601,0.930416743945601,1.03832599608886,0.0512837706391299,2.89982496266326,0.489842173093719,0.844791799554067,0.844791799554067,0.260203393747922,1.93625351287025,0.0728141674456461,0.22871394059932,0.072176850223063,0.147251995642266,0.147251995642266,0.633264513990985,0.128437409114059,2.93965940301733,0.0542289811065183,0.254912778233891,0.0817267919353824,0.734508136845572,1.2762158932575,0.139180396205447,0.312159556300238,0.411036005262303,1.33747320644495,1.18208250726928
"BaselTMA_SP41_206_X1Y2_3145",0.231363259473593,0.466846847640824,0.175248991601844,0.6779538291014,0.865322186144863,0.784846904426197,1.37449639362214,1.14863967752354,1.20849444325854,1.27174901075936,1.79510159284793,0.159699717179791,1.04121871110436,2.52564932319688,0,1.72383376194735,0.731680783306573,0.324587285050456,0.324587285050456,0.576257157527013,0.0633312232865107,2.56750076323188,0.783879322242384,0.662045499745775,0.662045499745775,0.318771825809681,1.42067502919818,0.0672219633716963,0.048858868002945,0.0262176577383774,0.0949363614100567,0.0949363614100567,0.410878979252748,0.040661595471629,2.56727771546673,0.0544540024041332,0.0780867138431905,0,0.247267842968683,1.41285173572806,0.206957203951636,0.265236442478955,0.106587130037737,0.603507017738948,0.0657004645657464
"BaselTMA_SP41_141_X11Y2_848",0.274621297086476,1.37120234050086,0.5596835305771,1.88742142072816,1.76866433153989,2.02338213824272,2.70593662164872,2.35034803122632,0.808042795220403,2.35663839951896,2.93879291084236,0.0225089488775008,0.161557384822618,1.97733747224513,0.0220541470135604,0.193966737369857,0.0736754187137055,0.393492330332214,0.393492330332214,0.686633609399072,0.0272169391339946,0.498537520775185,0.154256804980108,0.414755497905945,0.414755497905945,0.274337265528757,1.21919157349053,0.0392210471332801,0.0573513783204726,0.0291923586330642,0.037243239567914,0.037243239567914,0.52430722087369,0.0308502836823008,1.98999297915461,0.029505077546899,0.187184045950897,0,0.662416759803937,0.0748034384283806,0.0557339004344695,0.198712501028742,0.0380547275591247,0.510836432303911,0.0487244626244175
"BaselTMA_SP41_11_X13Y7_4100",0.259063334256019,1.11254381870501,0.386159169308589,1.46998605686475,1.37773983509576,1.63181185253261,2.12955383884808,1.93129251739436,1.14323267342893,1.20762698925073,1.70950616658211,0.139738893496319,0.0976388173212834,1.95718858023494,0.0347424590755286,1.0696721763246,2.30673941464342,0.590740845813638,0.590740845813638,0.644441486585931,0.0485533965448165,0.811002034612388,0.0867733173743923,0.526552496445743,0.526552496445743,0.146887323867224,1.59258197566032,0.17032806003693,0.113461386985391,0.0907726260110223,0.705838698043464,0.705838698043464,0.229154435675249,0.0337738815712011,3.61003346670413,0.116477828687693,0.275640830571253,0.0977571280130854,0.411693782692226,0.0640739654707924,0,0.122045157122504,0.158112729026572,0.472375026369167,0.297120612241605
"BaselTMA_SP41_101_X10Y8_1777",0.16417331545292,0.685602165844408,0.301560463940252,0.991889537313963,1.06646300793647,1.22635084774073,1.6644593665022,1.47174568655389,0.810755602651543,0.621853974394232,0.985117154267527,0.0984361634910158,0.333452914713483,2.24053651638523,0,0.0771001258012506,0.0166641043728526,0.606081746516434,0.606081746516434,0.952565803680443,0.0411834119334689,2.87641014975755,0.441551379158111,0.537478677320521,0.537478677320521,0.07692942482152,0.361167980020942,0.0397733395815728,0.0363682194496103,0.0156772763869383,0.0560949330680158,0.0560949330680158,0.450581989309283,0.0990049143044963,1.60693030198981,0.0297890539779113,0.0567084468481918,0.0191500078184723,0.289871602452833,0.80090695266612,0.00379199585872661,0.0792545689591776,0.198758000399107,0.982127492663897,0.299703924991955
"BaselTMA_SP41_186_X5Y4_783",0.390330047668868,0.725836081858732,0.247060828575112,1.24298484277167,1.10458515914735,1.33612356368127,1.92924065055849,1.62728554236666,1.97447930560504,0.983111605421449,1.45546881955064,0.992685599393586,1.20742646833586,2.292161770674,0.0761575789149999,0.131466084411359,0.44529628319084,0.609520663443909,0.609520663443909,1.21725014115611,0.107117341064389,2.75742283403842,0.261916991869253,0.634951459388313,0.634951459388313,0.763480157013277,1.14605162784958,0.192041698230596,0.746723391842542,0.181852922552728,0.046549826513293,0.046549826513293,0.503382338847433,0.0863032794797795,2.74529205156167,0.189150473456562,0.210248243747843,0.0802680023462396,0.640331623621137,2.03400989764475,0.206236031698181,0.572430432906436,0.713836587642793,1.4794845071991,1.15550543301187
"BaselTMA_SP41_186_X5Y4_2069",0.418479447561817,0.771923120246356,0.275744910195708,1.23666390929381,1.11755544199238,1.31930896301582,1.88776896791184,1.60726494281689,1.22683583388833,0.834817789809494,1.24426143825092,0.262113175606982,0.249624537673366,1.46078637576904,0.173839906642021,0.210988233913174,2.53675635884047,1.06368767942194,1.06368767942194,0.620469957281234,0.0606583984079598,0.43130753743718,0.200616933087473,0.448691592991981,0.448691592991981,0.688497847183902,2.2914850231762,0.157289784527307,0.394453276084446,0.104368335059102,0.135837501405742,0.135837501405742,0.394451753493122,0.046489754302598,3.61708154192588,0.559278561121097,1.40951443439001,0.0418266094754954,0.592815032677496,0.197815127187172,0.0151432689638481,0.712526140138591,0.300649835149048,0.839817352572551,1.13433078378695
"BaselTMA_SP41_141_X11Y2_2159",0.348819855681826,0.932557613887212,0.396038449309413,1.27348376820338,1.20162886051348,1.55208294944242,1.99706430289844,1.77643673381162,1.44544299511371,1.38946589641937,1.96570654672843,0.141710910298171,0.754057894107005,2.06458052754524,0.0649112828331517,0.113106356651295,0,0.82394495105248,0.82394495105248,1.28871590379412,0.116560460497602,2.80668427622071,0.494652207830479,0.351393700944517,0.351393700944517,0.432549272740676,0.658058589216406,0.0758135715547424,0.113802529880681,0.044097793054993,0.092291667465997,0.092291667465997,0.379171451693768,0.0708166408060824,2.96193470355215,0.185425618293418,0.0791121454682109,0.0187887171820907,0.992472392147681,0.628254899357679,0.153856607196588,0.336247398310648,0.513014192752061,0.784832425870053,0.859678175557579
"BaselTMA_SP41_129_X7Y8_1460",0.54679873851433,0.546150267225978,0.143100848607727,0.97207185756372,0.892048432296834,1.22030325322922,1.59358990818673,1.39761470947238,1.02755401550014,1.16052709107498,1.55514417845799,0.120310160404634,0.165666697814378,2.44937243064469,0,1.81357889251748,1.49049259775286,0.568489398939801,0.568489398939801,0.636522720560753,0.0487258958404884,1.32578145489716,0.139511093456742,0.546500859458276,0.546500859458276,0.285059300214649,1.27899692821095,0.174889506294856,0.0665335655641279,0.00660754872949895,0.095763879140745,0.095763879140745,0.312202076901531,0.192363163318558,2.6671458988605,0.168937146967259,0.0480161523428013,0.0152771475277629,0.28261195599444,0.148788901295196,0.0375893168185915,0.192459215648839,0.39933973636437,0.555301116548759,0.358039315544385
