,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP41_135_X8Y5_3127,0.031353373096895024,0.06501788798597813,0.06071696138992197,0.04245340193235813,0.1711155102387626,0.5783587760637852,0.050984089292298994
BaselTMA_SP41_11_X13Y7_3217,0.17519422238432458,0.15749348239824146,0.24236715168864925,0.255838610301328,0.03290160992077543,0.031096839285905384,0.10510808402077576
BaselTMA_SP41_126_X14Y7_1746,0.04242236035423595,0.09203825580906488,0.183710976278527,0.15123041014410013,0.29365195025567836,0.1284452732855874,0.1085007738728062
BaselTMA_SP41_18_X13Y5_762,0.09420922374946389,0.1384569585280376,0.22129516169571864,0.2124722531035397,0.1468863055649826,0.08722574548104847,0.09945435187720922
BaselTMA_SP41_203_X8Y8_527,3.8469972647289154e-05,0.0010695957702457671,0.00014721931676385552,8.17229280935723e-05,0.0040925850847467835,0.9944184043434541,0.0001520025840486514
BaselTMA_SP41_134_X3Y8_880,0.1057991354037298,0.13382564215670906,0.5223644226663845,0.1295592312024363,0.007073666096336616,0.011934525856764818,0.08944337661763894
BaselTMA_SP41_14_X1Y8_2568,0.1367705528740998,0.12706663854258896,0.42797715267206776,0.14277714316192394,0.016796128972766028,0.019654688869870658,0.12895769490668305
BaselTMA_SP41_18_X13Y5_1219,0.1315783530623433,0.13824256854343944,0.25531011078186566,0.30530576914791197,0.030059109411372138,0.02107048214897661,0.11843360690409077
BaselTMA_SP41_11_X13Y7_2886,0.020502488626236,0.07308214679613122,0.10177573728543983,0.07372902225272415,0.36137033973069554,0.31229805803175126,0.05724220727702205
BaselTMA_SP41_112_X5Y8_298,0.05947347867413081,0.11977980416358175,0.3890559840131545,0.2576162737201205,0.032360639042178674,0.015128702182102155,0.12658511820473153
BaselTMA_SP41_206_X1Y2_3026,0.03489237076466793,0.08340518398226794,0.10780113341788936,0.08163475900335004,0.27470070050655365,0.35022598161386714,0.06733987071140385
BaselTMA_SP41_135_X8Y5_430,0.16208432216247134,0.1347626835043648,0.20560536726154602,0.3252077471606219,0.031997823138335955,0.02613140055710511,0.11421065621555485
BaselTMA_SP41_100_X15Y5_2042,0.039588013795981036,0.08477897833467057,0.11472066041176197,0.07522299441704523,0.21093065218200394,0.4097535014706108,0.06500519938792665
BaselTMA_SP41_204_X16Y4_237_30,0.168755900834202,0.13379432044198644,0.2311548606143744,0.2654213853176066,0.04265200739943637,0.032183728267475016,0.12603779712491922
BaselTMA_SP41_134_X3Y8_1748,0.12778103442459626,0.12943587511894689,0.43657511695438755,0.16452414628849601,0.009437772592879475,0.014376383939488483,0.11786967068120532
