,RTK_signalling,proliferation,mTOR_signalling,apoptosis
BaselTMA_SP41_135_X8Y5_3127,-0.2529508417509781,0.42392093233252803,0.20708865706296226,-0.08471836245026772
BaselTMA_SP41_11_X13Y7_3217,-0.18926053582919686,0.3426550533870478,0.28453554273267695,-0.012892814518345605
BaselTMA_SP41_126_X14Y7_1746,-0.1706139309220628,0.32698563492249144,0.28113853267138855,0.007463875412402773
BaselTMA_SP41_18_X13Y5_762,-0.18306116843640668,0.33983079315198433,0.28263038220347836,-0.0036102010058548795
BaselTMA_SP41_203_X8Y8_527,-0.1958416257280371,0.23420211594695028,0.21575820676336893,0.10264372968077869
BaselTMA_SP41_134_X3Y8_880,-0.28195523928248717,0.47518764478144404,0.19845372153510638,-0.08209347433635626
BaselTMA_SP41_14_X1Y8_2568,-0.2083437982986001,0.38758443384739855,0.2630327498023638,-0.018105997701067952
BaselTMA_SP41_18_X13Y5_1219,-0.18468135211944745,0.3410467432062572,0.2823427193777969,-0.005826330850445094
BaselTMA_SP41_11_X13Y7_2886,-0.18688371815535182,0.33161558382901213,0.2762816136110238,-0.02485007049472014
BaselTMA_SP41_112_X5Y8_298,-0.1834676285393923,0.34013584201123315,0.282558215409691,-0.004166167822636471
BaselTMA_SP41_206_X1Y2_3026,-0.19313473757592492,0.3382267645725103,0.282430439389831,-0.027699715019925755
BaselTMA_SP41_135_X8Y5_430,-0.18307135106736122,0.33983843523034335,0.28262857428230004,-0.0036241290762280415
BaselTMA_SP41_100_X15Y5_2042,-0.18664150009286606,0.34251783692211785,0.2819946960575466,-0.008507472790816484
BaselTMA_SP41_204_X16Y4_237_30,-0.2366073866490498,0.4292575325771721,0.24875144935588842,-0.024264490680573944
BaselTMA_SP41_134_X3Y8_1748,-0.23435083188619965,0.40576230441984984,0.2074579025465563,-0.06579898327128393
BaselTMA_SP41_186_X5Y4_1179,-0.6106241831460983,0.6000338705671728,-0.2704978069114805,-0.3872822208523169
BaselTMA_SP41_159_X12Y4_1391,-0.3804366302393391,0.4931920361233321,0.08693146250690603,-0.0954363326513329
BaselTMA_SP41_135_X8Y5_2977,-0.18987940268213338,0.3381588271619991,0.2820970411772443,-0.020807709171682384
BaselTMA_SP41_165_X5Y6_308,-0.19196707964558252,0.34460790840533395,0.2841839032892769,-0.016629331076819687
BaselTMA_SP41_117_X13Y3_4099,-0.38775261629367747,0.45421355549670117,0.13891530946678585,-0.027780993971831466
BaselTMA_SP41_117_X13Y3_1932,-0.4630421436945836,0.4293445999123469,0.012705398002404777,0.005458001412919286
BaselTMA_SP41_14_X1Y8_3119,-0.20328790346896228,0.3446733976925477,0.28020940078629236,-0.005982577745648754
BaselTMA_SP41_165_X5Y6_1554,-0.17766653133988125,0.3357821106853201,0.2835881973987281,0.0037687254674113185
BaselTMA_SP41_134_X3Y8_1549,-0.17037147187238266,0.29603452538596237,0.1684257603430964,-0.07504708761923164
BaselTMA_SP41_177_X16Y5_130,-0.1804600270606618,0.337878633017232,0.2830922135908549,-5.22914347821507e-05
BaselTMA_SP41_126_X14Y7_1090,-0.18422485386477494,0.3407041406462174,0.2824237704211029,-0.005201920534026905
BaselTMA_SP41_203_X8Y8_2049,-0.1942080627620561,0.34717631776728336,0.2823285275948977,-0.019305266530172546
BaselTMA_SP41_204_X16Y4_238_343,-0.3729431140223423,0.45341532818143426,0.017128903443543897,-0.09136565750420804
BaselTMA_SP41_206_X1Y2_3145,-0.18392413334711377,0.34047844948934514,0.2824771632028944,-0.004790587102487365
BaselTMA_SP41_141_X11Y2_848,-0.1831098364068372,0.3398673185298818,0.28262174122897604,-0.003676770335539939
BaselTMA_SP41_11_X13Y7_4100,-0.19491143304484237,0.3471035602376886,0.2831910962788977,-0.02053113343248865
BaselTMA_SP41_101_X10Y8_1777,-0.2824570408264014,0.42503263257725604,0.22549782143427854,-0.03361640661801883
BaselTMA_SP41_186_X5Y4_783,-0.4921416124789592,0.5595305518878588,-0.040030589693847096,-0.18286665502638844
BaselTMA_SP41_186_X5Y4_2069,-0.2895150261322887,0.3873371819644147,0.11394156949692605,-0.0013281229916098786
BaselTMA_SP41_141_X11Y2_2159,-0.4087420761648258,0.47634051661216087,0.0614827984314332,-0.06615771533276073
