,Stromal,B cells,T cells,Macrophage,Epithelial (basal),Epithelial (luminal),Other
BaselTMA_SP43_115_X4Y8_4574,1.5138524218136806e-05,0.0009237772342184938,1.9705826159979733e-07,0.00042540774398928916,0.9975464092510127,0.00047123585133240764,0.0006178343369671799
BaselTMA_SP43_115_X4Y8_4575,8.064668104434436e-05,0.03318907065502613,3.472003741281306e-05,0.022001255278628454,0.8946768595034632,1.8591784028080135e-06,0.05001558866602215
BaselTMA_SP43_115_X4Y8_4576,0.9998788566698531,3.5874593012108456e-05,1.0142690921271878e-06,2.1716192908432396e-05,5.263461850510034e-08,1.3969173160192035e-09,6.248424359841877e-05
BaselTMA_SP43_115_X4Y8_4577,0.984951895720756,0.004708096407545509,7.046958157041844e-05,0.008389527545517672,1.3618094770423777e-05,8.888893299984444e-09,0.001866383760946631
BaselTMA_SP43_115_X4Y8_4578,0.029023625783575896,0.19498374423958614,4.534609381626683e-06,0.14579706097859138,9.237198507099826e-05,8.68348276293925e-10,0.6300986615354456
BaselTMA_SP43_115_X4Y8_4579,0.9659249790587736,0.007918209561703398,5.233192321705803e-08,0.005771546680561631,4.998730087665147e-07,6.072044915587072e-10,0.020384711886824707
BaselTMA_SP43_115_X4Y8_4580,0.9884213012568817,0.003075436853730196,3.295252070705702e-07,0.0023559242339081343,2.027893957031706e-06,3.207377401813549e-09,0.00614497702893839
BaselTMA_SP43_115_X4Y8_4581,0.2725014687556933,0.23874140999442342,0.00016440552037555553,0.34867465231697714,6.036817807561595e-05,2.0453511480858116e-10,0.13985769502991985
BaselTMA_SP43_115_X4Y8_4582,0.9081194527937799,0.02421774982255828,5.394719390217553e-06,0.06075567816347879,1.1464501164868674e-05,1.8280827403049114e-09,0.006890258171545094
BaselTMA_SP43_115_X4Y8_4583,0.9576649510084374,0.0064471547677761335,0.02009768959473811,0.007383762475170468,0.003459086968949835,2.6593298492310594e-06,0.004944695855078687
BaselTMA_SP43_115_X4Y8_4584,0.9965356757564269,0.000944448553524881,1.129068083664727e-06,0.0006766806292149715,2.281946797680841e-06,8.680464957892637e-09,0.0018397753654869984
BaselTMA_SP43_115_X4Y8_4585,0.9959555337860257,0.0003031589521736492,0.0032974303564349727,0.00021785246170968704,2.9632035257794438e-06,9.431674671142386e-10,0.000223060296962775
BaselTMA_SP43_115_X4Y8_4586,0.7420502832183284,0.07333775525523413,8.838045764437357e-06,0.06802522053393098,9.40228854568786e-06,1.171933515208039e-09,0.11656849948626255
BaselTMA_SP43_115_X4Y8_4587,0.6454138665568947,0.08332802668119624,3.683174437660488e-07,0.08226912691475573,2.223188776638103e-05,1.2050890370228772e-08,0.18896636759105273
BaselTMA_SP43_115_X4Y8_4588,4.0373229204285496e-05,0.0007094393751685072,7.572521949727805e-06,0.00029223811331900484,0.9910294231798669,0.007313640273890659,0.0006073133066008072
BaselTMA_SP43_115_X4Y8_4589,0.9925769115111949,0.0001315050680289855,0.007106052085911354,0.00012458557744095185,4.046246282085905e-06,2.163503695769929e-09,5.689734763788141e-05
BaselTMA_SP43_115_X4Y8_4590,0.9915859165334215,0.002652489725058566,0.0008083949686924181,0.004122314665009151,1.3745063773850793e-05,1.7154986130011923e-09,0.0008171373285458329
BaselTMA_SP43_115_X4Y8_4591,0.9978212671000568,0.000610388685509416,8.436740845121164e-07,0.00045539733758364573,4.779887604785952e-07,3.727075623299683e-09,0.0011116214869295895
BaselTMA_SP43_115_X4Y8_4592,0.02706394057863112,0.005297751443391974,5.5107386496607735e-05,0.0040398074354932026,0.9537065115879761,8.79782514849988e-05,0.009748903316526003
BaselTMA_SP43_115_X4Y8_4593,0.9950239412975977,0.0015858712518820892,2.3584784840441838e-07,0.00207663126611479,1.4727120658807886e-06,3.77511406011743e-09,0.001311843849376996
BaselTMA_SP43_115_X4Y8_4594,0.6117594092386613,0.09513992332437074,2.0347239903829078e-06,0.07297445235889996,3.940513764981284e-06,3.568865962788962e-10,0.22012023948342602
BaselTMA_SP43_115_X4Y8_4595,0.0031672940058244422,0.2204460597708043,0.00018808902059402075,0.1855761787074783,0.00014202182876196678,4.461306065590587e-10,0.5904803562204064
BaselTMA_SP43_115_X4Y8_4596,0.9986275422801834,0.00048558415737233386,1.1001017165219126e-07,0.00042504559818797564,5.116161568834729e-06,9.022128793785865e-10,0.00045660089030305376
BaselTMA_SP43_115_X4Y8_4597,0.9949613878228083,0.0015113193281854945,2.4226658522478736e-07,0.0011333691026228416,1.4897413264890812e-06,8.273647422520185e-10,0.0023921909111071053
BaselTMA_SP43_115_X4Y8_4598,0.4449233964548945,0.13849616959623678,3.255119256507386e-06,0.137816545065888,0.00013867811436371966,2.0519655357897748e-08,0.2786219351297051
BaselTMA_SP43_115_X4Y8_4599,3.106023181253906e-06,0.00015088232585484053,1.4418730424553066e-06,7.345575238455228e-05,0.9996397145556094,8.777818273299722e-05,4.362128719463236e-05
BaselTMA_SP43_115_X4Y8_4600,0.9964476231118499,0.0011416454479429284,5.8943577753663977e-05,0.0008605833170777881,5.31036134335654e-06,6.257616108519488e-09,0.0014858879264160628
BaselTMA_SP43_115_X4Y8_4601,0.3099317827023223,0.1506072834702068,1.3688541647731696e-07,0.10431792519073481,1.7021989855992937e-05,1.9035907575074917e-10,0.4351258495711045
BaselTMA_SP43_115_X4Y8_4602,0.03203432133665924,0.20491567479631842,6.477296347014744e-06,0.1525439909124165,8.537025774297893e-05,5.300938383644883e-10,0.6104141648704219
BaselTMA_SP43_115_X4Y8_4603,0.995528692903816,0.0011679528910736904,0.0009689503981763812,0.0011356845291553735,0.00025613217786867477,2.052619927835834e-07,0.0009423818379170101
BaselTMA_SP43_115_X4Y8_4604,0.9958926336519692,0.0013160235741030493,1.975800034205861e-07,0.0013255666506296962,1.8513792933407727e-06,2.3214729893786824e-09,0.001463724842528174
BaselTMA_SP43_115_X4Y8_4605,0.9881973618299605,0.0034028606536073316,5.938305333616137e-06,0.002920595491680572,0.00013686320309964036,1.4111867166087838e-07,0.00533623939764655
BaselTMA_SP43_115_X4Y8_4606,0.5555043778356074,0.12146102172308294,2.1012355694993975e-05,0.15958964511516005,7.361950654380167e-05,4.605636387951205e-08,0.1633502774075469
BaselTMA_SP43_115_X4Y8_4607,0.9062330769558623,0.01624568265617592,0.05300122633751608,0.016690255612825704,0.00010502662381522285,9.772124221478638e-10,0.007724730836592483
BaselTMA_SP43_115_X4Y8_4608,3.7320937145456227e-06,0.00035006053161931825,1.4315208118550078e-07,0.00016797789553236843,0.9992418251730731,2.537429791596513e-06,0.00023372372418795803
BaselTMA_SP43_115_X4Y8_4609,0.9266584560614992,0.023247335926720188,4.037049523995634e-05,0.0304222118068539,0.0008647077446037657,1.2782728347499839e-07,0.018766790137799593
BaselTMA_SP43_115_X4Y8_4610,0.9957994424015147,0.0014391002397663017,8.798892597532528e-05,0.0011645608456774495,2.9745666923358043e-06,1.718856646254721e-09,0.0015059313015170824
BaselTMA_SP43_115_X4Y8_4611,0.9867729813485376,0.0035222276817939006,7.842370553486641e-06,0.0029044719583507083,3.2664198179282778e-06,2.175982693509666e-08,0.006789188461119641
BaselTMA_SP43_115_X4Y8_4612,0.7512116477430336,0.045333984714126536,5.850826475097171e-09,0.02099061017546174,4.9073340535476814e-05,1.6258042816894214e-10,0.18241467801343578
BaselTMA_SP43_115_X4Y8_4613,0.9649055210632673,0.008905267956534626,1.6242834051031996e-05,0.007514083671759956,9.119345451713872e-06,4.8336794875715645e-08,0.01864971679214045
BaselTMA_SP43_115_X4Y8_4614,0.8091849587462797,0.03135406759713353,0.04695789175950065,0.05151483583599805,0.015249669215520527,0.003613037185690527,0.04212553965987682
BaselTMA_SP43_115_X4Y8_4615,2.831270347120673e-05,0.0017906723928617706,4.372276631692006e-06,0.0013844938693224741,0.9953310795715383,1.752360801586613e-07,0.001460893950094223
BaselTMA_SP43_115_X4Y8_4616,0.00011974565656740157,0.15218649696616365,1.3245583110182279e-05,0.2934628331180592,0.500256563152111,7.509322224316263e-09,0.053961108014666324
BaselTMA_SP43_115_X4Y8_4617,0.999532071662175,0.0001342427974186789,3.466427990974684e-05,0.00011981272083910413,1.8188183360298364e-06,1.757240114529159e-07,0.00017721399731008202
BaselTMA_SP43_115_X4Y8_4618,0.18584599465003987,0.1684531682106186,1.328438177620858e-05,0.12143483252287075,0.00011303987401789868,5.885766266825409e-09,0.5241396744749103
BaselTMA_SP43_115_X4Y8_4619,0.03481765940474877,0.2038726634832581,5.282645029196394e-07,0.16667963440488573,3.9388881963337975e-06,5.081749963754614e-11,0.5946255755035906
BaselTMA_SP43_115_X4Y8_4620,0.09656449410225681,0.1898054440854991,4.945243529858166e-07,0.14820234005199714,6.341817921680159e-05,9.089166800876442e-10,0.5653638081477605
BaselTMA_SP43_115_X4Y8_4621,0.3579400288566148,0.12233491931708398,7.058690520596331e-08,0.08234542658362208,5.0509920719382535e-06,2.674668432394024e-10,0.4373745033962351
BaselTMA_SP43_115_X4Y8_4622,0.0014786124943076693,0.0014177851658799816,0.000498600560282756,0.0011707170866462559,0.9938863679784247,3.868759111467695e-07,0.0015475298385474812
BaselTMA_SP43_115_X4Y8_4623,0.995668912023693,0.0014587859470640812,2.6024487948017603e-06,0.0016132574377596607,7.950154916249249e-07,1.29993752940529e-09,0.0012556458272591701
BaselTMA_SP43_115_X4Y8_4624,0.04174236235891481,0.23505982797424066,2.628945426706152e-05,0.1824598618750599,0.00022320133306243453,5.566843563721965e-10,0.5404884564477707
BaselTMA_SP43_115_X4Y8_4625,0.9244904594014325,0.01840189978245779,2.975044102914713e-06,0.015756787548374757,1.883498846909782e-05,3.6343254822568715e-08,0.04132900689190807
BaselTMA_SP43_115_X4Y8_4626,0.9081182832429875,0.021378344245418145,7.987287546226619e-08,0.016604168779458157,4.627873931997214e-06,2.0865043221595643e-09,0.05389449389882424
BaselTMA_SP43_115_X4Y8_4627,0.0040715189995985815,0.22126727901707616,4.090307827267307e-07,0.16134656114929605,4.536680381131244e-05,6.804774990420567e-12,0.6132688649926306
BaselTMA_SP43_115_X4Y8_4628,0.9983935373973568,0.0005000128158964849,0.00019925015293987557,0.0006022223998971313,6.484554996389189e-06,2.2528930782759283e-08,0.00029847014998241256
BaselTMA_SP43_115_X4Y8_4629,0.01233574233761671,0.0023778090723664217,0.9808036970287928,0.00283322560375187,0.0004954044516574217,6.567018320907467e-09,0.0011541149387967156
BaselTMA_SP43_115_X4Y8_4630,0.9763365805551997,0.005696623991834098,1.8271702566032878e-08,0.0038238728524192145,4.891549426418046e-07,1.922217321962408e-10,0.014142414981680007
